CountryID,Country and Area,"Forest Area, 1990","Forest Area, 2000","Forest Area, 2010","Forest Area, 2015","Forest Area, 2020","Total Land Area, 2020","Forest Area as a Proportion of Total Land Area, 2020","Deforestation, 2015-2020","Total Forest Area Affected by Fire, 2015"
,WORLD,4236433.42,4158049.52,4106316.94,,4058930.81,13003000.0,31.13,10200.0,98040
4.0,Afghanistan,1208.44,1208.44,1208.44,1208.44,1208.44,65286.0,1.85,,...
8.0,Albania,788.8,769.3,782.07,789.19,788.9,2740.0,28.79,,...
12.0,Algeria,1667.0,1579.0,1918.0,1956.0,1949.0,238174.0,0.82,5.4,...
16.0,American Samoa,18.07,17.73,17.43,17.28,17.13,20.0,85.65,,0
20.0,Andorra,16.0,16.0,16.0,16.0,16.0,47.0,34.04,,...
24.0,Angola,79262.78,77708.61,72158.0,69382.69,66607.38,124670.0,53.43,,...
660.0,Anguilla,5.5,5.5,5.5,5.5,5.5,9.0,61.11,,...
28.0,Antigua and Barbuda,10.11,9.45,8.78,8.45,8.12,44.0,18.45,,...
32.0,Argentina,35204.0,33378.0,30214.0,29097.0,28573.0,273669.0,10.44,134.8,128
51.0,Armenia,334.73,332.64,330.56,329.52,328.47,2847.0,11.54,,...
533.0,Aruba,0.42,0.42,0.42,0.42,0.42,18.0,2.33,0.0,...
36.0,Australia,133882.2,131814.1,129546.1,133094.5,134005.1,768230.0,17.44,,14774.38
40.0,Austria,3775.67,3838.14,3863.2,3881.19,3899.15,8252.0,47.25,5.81,0.09
31.0,Azerbaijan,944.74,987.22,1032.49,1077.89,1131.77,8266.0,13.69,86.36,...
44.0,Bahamas,509.86,509.86,509.86,509.86,509.86,1001.0,50.94,,0.28
48.0,Bahrain,0.22,0.37,0.52,0.6,0.7,77.0,0.91,0.0,0
50.0,Bangladesh,1920.33,1920.33,1888.34,1883.4,1883.4,13017.0,14.47,0.0,...
52.0,Barbados,6.3,6.3,6.3,6.3,6.3,43.0,14.65,,...
112.0,Belarus,7780.0,8273.0,8630.0,8633.5,8767.6,20297.8,43.19,3.5,13.89
